"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\William\Desktop\AlanUI\public\aboutalan.html", "HTML", 104, 0, 0, 0, 0, 0, 15, 119
"c:\Users\William\Desktop\AlanUI\public\atoms.html", "HTML", 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\William\Desktop\AlanUI\public\chatbot-module.js", "JavaScript", 0, 43, 0, 0, 0, 1, 3, 47
"c:\Users\William\Desktop\AlanUI\public\closer.js", "JavaScript", 0, 46, 0, 0, 0, 5, 5, 56
"c:\Users\William\Desktop\AlanUI\public\ear.html", "HTML", 53, 0, 0, 0, 0, 0, 4, 57
"c:\Users\William\Desktop\AlanUI\public\eye.html", "HTML", 57, 0, 0, 0, 0, 3, 2, 62
"c:\Users\William\Desktop\AlanUI\public\faviconAndMeta.js", "JavaScript", 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\William\Desktop\AlanUI\public\favicons\browserconfig.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\William\Desktop\AlanUI\public\favicons\manifest.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 41
"c:\Users\William\Desktop\AlanUI\public\home.html", "HTML", 235, 0, 0, 0, 0, 8, 53, 296
"c:\Users\William\Desktop\AlanUI\public\imagesWithText.js", "JavaScript", 0, 17, 0, 0, 0, 2, 1, 20
"c:\Users\William\Desktop\AlanUI\public\index.html", "HTML", 132, 0, 0, 0, 0, 0, 15, 147
"c:\Users\William\Desktop\AlanUI\public\instructions.html", "HTML", 212, 0, 0, 0, 0, 0, 37, 249
"c:\Users\William\Desktop\AlanUI\public\language.js", "JavaScript", 0, 266, 0, 0, 0, 9, 6, 281
"c:\Users\William\Desktop\AlanUI\public\listener-module.js", "JavaScript", 0, 77, 0, 0, 0, 8, 14, 99
"c:\Users\William\Desktop\AlanUI\public\page.html", "HTML", 114, 0, 0, 0, 0, 0, 8, 122
"c:\Users\William\Desktop\AlanUI\public\script.js", "JavaScript", 0, 38, 0, 0, 0, 6, 14, 58
"c:\Users\William\Desktop\AlanUI\public\styles.css", "CSS", 0, 0, 300, 0, 0, 2, 65, 367
"c:\Users\William\Desktop\AlanUI\public\weblinks.html", "HTML", 70, 0, 0, 0, 0, 0, 5, 75
"Total", "-", 1029, 521, 300, 41, 2, 44, 256, 2193